Strain,MediumID,Medium,Stress,EX_nh4_e,EX_ac_e,EX_glc__D_e,EX_o2_e,EX_so4_e,EX_co2_e
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
W3110,MD121,M9+Glu,none,50.1,69.6,100,158.6,1.7,175.2
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
MG1655,MD004,MOPS+Glu(0.4%),none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
MG1655,MD004,MOPS+Glu(0.4%),NADH-limitation,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
W3110,MD121,M9+Glu,none,52.3,69.9,100,144.9,1.7,162.2
MG1655,MD004,MOPS+Glu(0.4%),ATP-limitation,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD120,synthetic+Glu+KNO3,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,0,0.0,0.0,0.0
W3110,MD121,M9+Glu,none,55.6,70.0,100,124.9,1.9,143.3
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
W3110,MD121,M9+Glu,none,0.0,0.0,100,0.0,0.0,0.0
BW25113,MD066,synthetic+Glu,none,0.0,0.0,100,0.0,0.0,0.0
